comuna,Poblacion 2025,nombre_comuna,sum,presupuesto_persona
1101,233228,Iquique,23341393851.0,100080.0
1107,146337,Alto Hospicio,10045767725.0,68648.0
1401,18962,Pozo Almonte,4406860312.0,232405.0
1402,1371,Camiña,1566682819.0,1142730.0
1403,1546,Colchane,1032010838.0,667536.0
1404,3111,Huara,3286236000.0,1056328.0
1405,6348,Pica,2307904919.0,363564.0
2101,447224,Antofagasta,36548987603.0,81724.0
2102,16087,Mejillones,6144460472.0,381952.0
2103,1806,Sierra Gorda,3097468807.0,1715099.0
2104,13999,Taltal,3466747207.0,247642.0
2201,196820,Calama,18237935863.0,92663.0
2202,265,Ollagüe,2401095644.0,9060738.0
2203,11121,San Pedro de Atacama,5568122780.0,500685.0
2301,28369,Tocopilla,4344999749.0,153160.0
2302,6429,María Elena,586737168.0,91264.0
3101,176921,Copiapó,28693567425.0,162183.0
3102,20057,Caldera,4888249606.0,243718.0
3103,14441,Tierra Amarilla,2752049843.0,190572.0
3201,12971,Chañaral,2512878651.0,193731.0
3202,13806,Diego de Almagro,3091743173.0,223942.0
3301,57368,Vallenar,6281290183.0,109491.0
3302,5785,Alto del Carmen,2058758285.0,355879.0
3303,7865,Freirina,3059113546.0,388953.0
3304,11650,Huasco,3959479078.0,339869.0
4101,271608,La Serena,19428825620.0,71533.0
4102,280153,Coquimbo,30883198554.0,110237.0
4103,11838,Andacollo,1955762863.0,165211.0
4104,4548,La Higuera,2960377966.0,650919.0
4105,4713,Paiguano,2433418937.0,516321.0
4106,30703,Vicuña,5901321362.0,192207.0
4201,33051,Illapel,6164025531.0,186500.0
4202,9494,Canela,3266896117.0,344101.0
4203,24641,Los Vilos,9480031656.0,384726.0
4204,30081,Salamanca,3462552495.0,115108.0
4301,125046,Ovalle,25751578341.0,205937.0
4302,13839,Combarbalá,3198444866.0,231118.0
4303,32682,Monte Patria,5459020362.0,167034.0
4304,12585,Punitaqui,2964760825.0,235579.0
4305,4291,Río Hurtado,2140252576.0,498777.0
5101,321852,Valparaíso,24684693908.0,76696.0
5102,30861,Casablanca,4846373367.0,157039.0
5103,48704,Concón,4349084407.0,89296.0
5104,1121,Juan Fernández,1305621126.0,1164693.0
5105,21490,Puchuncaví,7128235622.0,331700.0
5107,39170,Quintero,11972947734.0,305666.0
5109,373551,Viña del Mar,46522004912.0,124540.0
5201,8997,Isla de Pascua,5024026589.0,558411.0
5301,69094,Los Andes,2599927605.0,37629.0
5302,17946,Calle Larga,3782454389.0,210769.0
5303,12204,Rinconada,2487551293.0,203831.0
5304,22010,San Esteban,4237558981.0,192529.0
5401,38511,La Ligua,6885389224.0,178790.0
5402,20764,Cabildo,3318389236.0,159815.0
5403,6492,Papudo,2393044626.0,368614.0
5404,10636,Petorca,2356793847.0,221586.0
5405,8454,Zapallar,8882822269.0,1050724.0
5501,101729,Quillota,8831411471.0,86813.0
5502,53945,Calera,11219505120.0,207980.0
5503,19537,Hijuelas,3405160731.0,174293.0
5504,28505,La Cruz,3243486067.0,113787.0
5506,23665,Nogales,3855890277.0,162936.0
5601,98992,San Antonio,15234165068.0,153893.0
5602,16296,Algarrobo,6375576365.0,391236.0
5603,27476,Cartagena,6955968397.0,253165.0
5604,19073,El Quisco,10013546638.0,525012.0
5605,15375,El Tabo,8480492227.0,551577.0
5606,12758,Santo Domingo,10213839080.0,800583.0
5701,87601,San Felipe,12489241777.0,142570.0
5702,15824,Catemu,3780021893.0,238879.0
5703,27449,Llay Llay,1293356390.0,47119.0
5704,7889,Panquehue,2161008740.0,273927.0
5705,18097,Putaendo,3396375492.0,187676.0
5706,17097,Santa María,2807081733.0,164186.0
5801,175095,Quilpué,17543571727.0,100195.0
5802,52099,Limache,7700142356.0,147798.0
5803,20480,Olmué,1670979385.0,81591.0
5804,149327,Villa Alemana,13884149952.0,92978.0
6101,276470,Rancagua,29620502589.0,107138.0
6102,14745,Codegua,2606825651.0,176794.0
6103,8062,Coinco,1379431916.0,171103.0
6104,22347,Coltauco,4763089657.0,213142.0
6105,23866,Doñihue,3019313115.0,126511.0
6106,38569,Graneros,2349027438.0,60905.0
6107,27972,Las Cabras,4344199890.0,155305.0
6108,65812,Machalí,9099967965.0,138272.0
6109,14325,Malloa,3569499060.0,249180.0
6110,28806,Mostazal,6732921803.0,233733.0
6111,15092,Olivar,3344337317.0,221597.0
6112,15038,Peumo,1965071362.0,130674.0
6113,21133,Pichidegua,3245765345.0,153588.0
6114,14379,Quinta de Tilcoco,2659820479.0,184980.0
